Rank	Team	Elo Rating	Record
1	Baltimore Ravens	1609	13-6
2	Philadelphia Eagles	1604	18-3
3	Detroit Lions	1590	15-3
4	Buffalo Bills	1590	15-5
5	Kansas City Chiefs	1557	17-3
6	Green Bay Packers	1555	11-7
7	Tampa Bay Buccaneers	1549	10-8
8	Denver Broncos	1549	10-8
9	Cincinnati Bengals	1534	9-8
10	Washington Commanders	1531	14-6
11	Minnesota Vikings	1528	14-4
12	Los Angeles Rams	1528	11-8
13	Los Angeles Chargers	1522	11-7
14	Houston Texans	1516	11-8
15	Seattle Seahawks	1507	10-7
16	Pittsburgh Steelers	1503	10-8
17	Arizona Cardinals	1501	8-9
18	Miami Dolphins	1496	8-9
19	San Francisco 49ers	1485	6-11
20	Dallas Cowboys	1476	7-10
21	Atlanta Falcons	1470	8-9
22	New York Jets	1462	5-12
23	Indianapolis Colts	1457	8-9
24	Chicago Bears	1457	5-12
25	Jacksonville Jaguars	1456	4-13
26	New Orleans Saints	1447	5-12
27	Las Vegas Raiders	1436	4-13
28	New England Patriots	1427	4-13
29	New York Giants	1425	3-14
30	Tennessee Titans	1412	3-14
31	Carolina Panthers	1410	5-12
32	Cleveland Browns	1408	3-14
